n	czas	liczbaPorównań
1000	15293	1000000
1000	13795	1000000
1000	14392	1000000
1000	14951	1000000
1000	14030	1000000
1000	13915	1000000
1000	14734	1000000
1000	14431	1000000
1000	14046	1000000
1000	14973	1000000
1000	14266	1000000
1000	14216	1000000
1000	13952	1000000
1000	14059	1000000
1000	14706	1000000
1000	14781	1000000
1000	15110	1000000
1000	13785	1000000
1000	15528	1000000
1000	13727	1000000
1000	14888	1000000
1000	13813	1000000
1000	14122	1000000
1000	14153	1000000
1000	14393	1000000
1000	14077	1000000
1000	14895	1000000
1000	14075	1000000
1000	15054	1000000
1000	14269	1000000
1000	13860	1000000
1000	13958	1000000
1000	13718	1000000
1000	15222	1000000
1000	13781	1000000
1000	14051	1000000
1000	13848	1000000
1000	13926	1000000
1000	14162	1000000
1000	14376	1000000
1000	14680	1000000
1000	14603	1000000
1000	14716	1000000
1000	14397	1000000
1000	14791	1000000
1000	13911	1000000
1000	14594	1000000
1000	14188	1000000
1000	14143	1000000
1000	14050	1000000
1000	14137	1000000
1000	13970	1000000
1000	14965	1000000
1000	13997	1000000
1000	14370	1000000
1000	14077	1000000
1000	13910	1000000
1000	13876	1000000
1000	14131	1000000
1000	14960	1000000
1000	13269	1000000
1000	14764	1000000
1000	14062	1000000
1000	14493	1000000
1000	14246	1000000
1000	14147	1000000
1000	14303	1000000
1000	14894	1000000
1000	14306	1000000
1000	14067	1000000
1000	14536	1000000
1000	14473	1000000
1000	14163	1000000
1000	14324	1000000
1000	14462	1000000
1000	13777	1000000
1000	14800	1000000
1000	13988	1000000
1000	14006	1000000
1000	14016	1000000
1000	15600	1000000
1000	14650	1000000
1000	13893	1000000
1000	13799	1000000
1000	16539	1000000
1000	15014	1000000
1000	15695	1000000
1000	13984	1000000
1000	13897	1000000
1000	13892	1000000
1000	13588	1000000
1000	13947	1000000
1000	13779	1000000
1000	15735	1000000
1000	15127	1000000
1000	13877	1000000
1000	14256	1000000
1000	14119	1000000
1000	14092	1000000
1000	14094	1000000
1000	14511	1000000
1000	15838	1000000
1000	14648	1000000
1000	14258	1000000
1000	14441	1000000
1000	14108	1000000
1000	14678	1000000
1000	14257	1000000
