n;Bn;Un;Ln;Cn;Dn;Dn-Cn
10000;147;3683;8;97427;147838;50411
10000;213;3657;6;88728;135469;46741
10000;90;3707;6;88492;126798;38306
10000;195;3666;7;79271;105625;26354
10000;242;3697;6;104869;121882;17013
10000;23;3700;7;92380;124743;32363
10000;80;3673;6;102646;124084;21438
10000;230;3716;7;89184;107024;17840
10000;119;3671;7;104607;115357;10750
10000;153;3650;7;103204;135456;32252
10000;183;3586;7;117437;130453;13016
10000;225;3666;7;87233;131187;43954
10000;164;3694;6;95511;107485;11974
10000;93;3638;7;85914;111160;25246
10000;156;3668;6;94674;117643;22969
10000;71;3651;6;116651;135657;19006
10000;109;3675;6;97918;157489;59571
10000;86;3671;7;89169;107556;18387
10000;51;3707;7;91530;111960;20430
10000;83;3730;7;99557;131826;32269
10000;206;3687;7;110220;116581;6361
10000;180;3677;6;104086;132928;28842
10000;141;3630;7;87159;122637;35478
10000;48;3654;7;92819;109183;16364
11000;236;4078;7;120006;123894;3888
11000;169;4076;7;84123;114890;30767
11000;12;4059;6;119214;129354;10140
11000;178;4028;7;112714;140264;27550
11000;143;4033;9;100369;136170;35801
11000;68;4035;8;105232;151172;45940
11000;116;4075;7;101260;126955;25695
11000;144;4009;7;91723;118131;26408
11000;51;3959;6;83840;134833;50993
11000;81;4059;7;106158;139342;33184
11000;80;4023;6;118867;122301;3434
11000;22;4087;6;101507;124747;23240
11000;85;4055;8;102311;130437;28126
11000;65;4035;6;96176;146650;50474
11000;130;4037;7;104086;119853;15767
11000;155;4110;6;104615;135009;30394
11000;49;4076;7;113296;159433;46137
11000;52;4016;7;142116;146777;4661
11000;25;4028;7;100438;131059;30621
11000;106;4030;6;97155;132844;35689
11000;47;4084;6;130509;155202;24693
11000;130;4009;7;108858;124971;16113
11000;73;4086;8;114999;174588;59589
11000;159;4054;7;104446;115112;10666
11000;76;4048;7;123724;138013;14289
11000;165;4019;7;117064;141997;24933
11000;161;4069;7;109717;135499;25782
11000;96;4030;7;97414;133512;36098
11000;136;4084;6;136422;169057;32635
11000;41;3982;7;109636;136886;27250
11000;51;4079;7;156503;165803;9300
11000;69;4031;6;103985;127385;23400
11000;77;4111;6;83710;118872;35162
11000;309;4076;6;103287;122680;19393
11000;46;4079;7;97319;111565;14246
11000;75;4083;8;101761;125542;23781
11000;79;3996;7;89528;117364;27836
11000;142;4027;6;103393;169438;66045
11000;40;4063;7;104485;158123;53638
11000;168;4096;8;118314;137739;19425
11000;107;4064;6;97876;138335;40459
11000;84;4064;9;111223;125782;14559
11000;121;4029;7;99022;116836;17814
11000;239;4079;7;124116;150345;26229
11000;123;4062;6;94380;129789;35409
11000;250;4072;7;120632;170255;49623
11000;78;4108;6;96847;154944;58097
11000;131;4082;7;117164;138457;21293
11000;138;4000;6;107863;128265;20402
11000;200;4059;6;103235;139959;36724
12000;121;4392;7;124819;149785;24966
12000;206;4386;7;108267;156686;48419
12000;67;4402;6;105676;140665;34989
12000;125;4409;7;127514;144091;16577
12000;189;4382;7;110402;163190;52788
12000;113;4452;7;134474;188348;53874
12000;214;4441;7;109609;204611;95002
12000;208;4417;7;110903;138964;28061
12000;152;4421;7;121428;141952;20524
12000;218;4434;8;109151;139505;30354
12000;169;4442;7;105544;129944;24400
12000;108;4361;7;120908;195586;74678
12000;270;4376;8;118127;127926;9799
12000;143;4474;8;169765;173669;3904
12000;220;4436;6;99142;176353;77211
12000;68;4396;7;152515;156652;4137
12000;74;4462;8;131932;187346;55414
12000;86;4397;7;107451;155956;48505
12000;109;4383;6;103983;128248;24265
12000;179;4385;7;115255;155000;39745
12000;115;4439;7;122348;148288;25940
12000;33;4382;6;139140;175346;36206
12000;222;4402;6;116105;147239;31134
12000;142;4503;8;98049;145422;47373
12000;153;4471;7;120637;147397;26760
12000;41;4418;6;117376;156832;39456
12000;171;4440;7;105749;146134;40385
12000;128;4375;7;130618;150764;20146
12000;252;4414;6;126190;142775;16585
12000;76;4366;7;110546;138866;28320
12000;106;4411;6;92365;142771;50406
12000;75;4433;6;115632;147214;31582
12000;143;4370;6;114299;181140;66841
12000;73;4389;7;114397;157373;42976
12000;105;4329;6;126535;140734;14199
12000;218;4350;7;148572;148774;202
12000;125;4444;7;123946;153707;29761
12000;37;4465;6;130263;142828;12565
12000;176;4436;7;122216;169833;47617
12000;122;4420;8;129950;134343;4393
12000;115;4487;7;142441;145347;2906
12000;144;4427;9;126225;199597;73372
12000;137;4377;6;113480;128319;14839
12000;81;4408;7;135907;141617;5710
12000;98;4437;7;132861;138577;5716
12000;93;4380;7;131774;149157;17383
12000;194;4441;7;116593;143239;26646
12000;151;4411;7;110310;141862;31552
12000;258;4408;7;120878;142502;21624
12000;149;4389;6;86179;116691;30512
13000;151;4724;6;149221;156155;6934
13000;124;4809;8;158290;167576;9286
13000;21;4801;8;119032;150122;31090
13000;122;4789;6;117637;142538;24901
13000;99;4822;7;127063;182215;55152
13000;191;4764;7;130431;164154;33723
13000;186;4788;6;113879;146020;32141
13000;97;4719;7;124432;178889;54457
13000;102;4795;7;116776;139801;23025
13000;195;4774;6;104051;127611;23560
13000;165;4786;8;146454;167331;20877
13000;155;4782;6;127124;172309;45185
13000;228;4803;8;142405;179574;37169
13000;181;4738;6;129039;158060;29021
13000;271;4784;7;108638;162792;54154
13000;143;4791;7;120135;144833;24698
13000;75;4708;7;123851;137888;14037
13000;285;4800;7;172601;197674;25073
13000;100;4799;7;114468;176288;61820
13000;252;4759;7;127590;162186;34596
13000;76;4853;7;129588;159552;29964
13000;50;4861;7;131028;145566;14538
13000;86;4852;7;136689;172584;35895
13000;194;4775;7;179627;192809;13182
13000;190;4777;7;125573;140903;15330
13000;159;4807;7;109571;158175;48604
13000;223;4797;8;124386;152923;28537
13000;77;4837;7;127845;150422;22577
13000;181;4782;6;114437;162476;48039
13000;303;4782;7;137982;154772;16790
13000;88;4772;6;134776;165040;30264
13000;104;4836;7;149216;150953;1737
13000;149;4804;7;112569;154703;42134
13000;180;4784;6;121941;148754;26813
13000;258;4804;7;115156;182293;67137
13000;270;4783;7;109349;166081;56732
13000;188;4750;7;148345;163106;14761
13000;87;4723;6;135263;144071;8808
13000;190;4762;6;119352;197218;77866
13000;225;4786;6;136114;147232;11118
13000;88;4740;8;109504;150840;41336
13000;153;4797;7;119445;151115;31670
13000;85;4804;6;130270;184804;54534
13000;132;4735;7;122100;181520;59420
13000;257;4814;7;123756;155423;31667
13000;263;4776;8;118049;137975;19926
13000;212;4834;7;131915;162265;30350
13000;131;4814;7;152877;166809;13932
13000;136;4744;6;193724;213518;19794
13000;258;4711;8;103580;186749;83169
14000;157;5150;6;146109;160159;14050
14000;198;5181;7;126807;167815;41008
14000;117;5149;8;157682;179466;21784
14000;106;5128;7;115129;153166;38037
14000;54;5202;6;141079;163047;21968
14000;141;5078;6;138959;172515;33556
14000;183;5128;6;154276;171009;16733
14000;115;5149;6;149554;169415;19861
14000;60;5124;6;181520;200841;19321
14000;130;5120;7;122027;178484;56457
14000;36;5140;7;140944;165379;24435
14000;36;5136;7;156967;169952;12985
14000;75;5093;7;131573;157345;25772
14000;212;5127;7;125746;170678;44932
14000;137;5175;6;144274;176096;31822
14000;192;5119;7;132929;161549;28620
14000;94;5209;7;137148;178200;41052
14000;46;5111;8;136637;151145;14508
14000;191;5200;6;140098;176854;36756
14000;175;5111;6;123313;152933;29620
14000;131;5217;6;193357;235327;41970
14000;29;5126;7;156821;175907;19086
14000;245;5143;7;114780;196342;81562
14000;189;5094;7;123667;163064;39397
14000;97;5136;6;143740;185002;41262
14000;69;5202;6;129073;154614;25541
14000;269;5172;7;135515;174445;38930
14000;63;5079;7;128074;165525;37451
14000;101;5116;6;171791;195801;24010
14000;120;5087;7;140071;155629;15558
14000;293;5179;7;140929;172999;32070
14000;64;5166;8;159006;225072;66066
14000;51;5114;8;125124;158922;33798
14000;177;5119;8;163204;194015;30811
14000;45;5168;7;133633;181348;47715
14000;74;5206;7;116171;187796;71625
14000;259;5194;7;183601;193687;10086
14000;293;5164;7;127207;179374;52167
14000;102;5094;7;139314;189354;50040
14000;87;5203;7;134575;233472;98897
14000;62;5128;7;149499;158009;8510
14000;177;5071;6;151430;185836;34406
14000;122;5177;6;127019;178469;51450
14000;122;5087;7;174619;186123;11504
14000;136;5137;7;142945;160241;17296
14000;165;5134;8;124876;153363;28487
14000;162;5144;6;117031;170767;53736
14000;183;5205;6;129651;179101;49450
14000;290;5197;6;166020;177967;11947
14000;205;5141;7;139534;162049;22515
15000;145;5498;7;154325;183175;28850
15000;61;5500;7;146866;158429;11563
15000;64;5456;6;165137;211158;46021
15000;123;5538;6;182869;203445;20576
15000;145;5483;7;242000;254695;12695
15000;122;5520;6;156332;187040;30708
15000;163;5525;6;153457;165996;12539
15000;67;5478;7;145550;180940;35390
15000;147;5534;7;132026;158084;26058
15000;133;5528;7;164190;174372;10182
15000;91;5522;6;134921;166359;31438
